Time,Numerical,Analytical,Relative Error
0.16,0.8522119178,0.852143789,7.994990248e-05
0.161,0.8513605572,0.8512920711,8.044960947e-05
0.162,0.8505100472,0.8504412045,8.094931671e-05
0.163,0.8496603868,0.8495911884,8.14490242e-05
0.164,0.8488115752,0.8487420219,8.194873194e-05
0.165,0.8479636116,0.8478937041,8.244843993e-05
0.166,0.8471164951,0.8470462342,8.294814817e-05
0.167,0.8462702249,0.8461996113,8.344785665e-05
0.168,0.8454248001,0.8453538347,8.394756539e-05
0.169,0.8445802199,0.8445089034,8.444727438e-05
0.17,0.8437364834,0.8436648166,8.494698361e-05
0.171,0.8428935898,0.8428215735,8.54466931e-05
0.172,0.8420515382,0.8419791732,8.594640284e-05
0.173,0.8412103279,0.8411376148,8.644611282e-05
0.174,0.840369958,0.8402968977,8.694582306e-05
0.175,0.8395304275,0.8394570208,8.744553355e-05
0.176,0.8386917358,0.8386179833,8.794524428e-05
0.177,0.8378538819,0.8377797845,8.844495527e-05
0.178,0.8370168651,0.8369424235,8.89446665e-05
0.179,0.8361806844,0.8361058994,8.944437798e-05
0.18,0.835345339,0.8352702114,8.994408972e-05
0.181,0.8345108282,0.8344353587,9.04438017e-05
0.182,0.8336771511,0.8336013404,9.094351393e-05
0.183,0.8328443067,0.8327681557,9.144322642e-05
0.184,0.8320122944,0.8319358038,9.194293915e-05
0.185,0.8311811133,0.8311042839,9.244265213e-05
0.186,0.8303507626,0.830273595,9.294236536e-05
0.187,0.8295212413,0.8294437364,9.344207885e-05
0.188,0.8286925488,0.8286147072,9.394179258e-05
0.189,0.8278646841,0.8277865067,9.444150656e-05
0.19,0.8270376465,0.8269591339,9.494122079e-05
0.191,0.826211435,0.8261325882,9.544093527e-05
0.192,0.825386049,0.8253068685,9.594065e-05
0.193,0.8245614875,0.8244819741,9.644036498e-05
0.194,0.8237377497,0.8236579043,9.694008021e-05
0.195,0.8229148349,0.8228346581,9.743979569e-05
0.196,0.8220927422,0.8220122347,9.793951142e-05
0.197,0.8212714707,0.8211906333,9.84392274e-05
0.198,0.8204510197,0.8203698531,9.893894362e-05
0.199,0.8196313883,0.8195498933,9.94386601e-05
0.2,0.8188125757,0.8187307531,9.993837683e-05
0.201,0.8179945811,0.8179124316,0.0001004380938
0.202,0.8171774037,0.8170949279,0.000100937811
0.203,0.8163610427,0.8162782414,0.0001014375285
0.204,0.8155454972,0.8154623712,0.0001019372462
0.205,0.8147307664,0.8146473164,0.0001024369642
